fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality
7.76,0.997,0.365,4.64,0.163,17.7,34.5,0.9992,3.45,0.482,9.6,4
5.57,0.557,0.348,1.45,0.036,22.4,51.9,0.9979,3.35,0.554,10.13,6
5.69,0.801,0.078,0.77,0.06,12.0,43.3,0.9957,3.55,0.609,9.97,4
7.33,1.048,0.49,3.1,0.137,23.6,81.6,0.9951,3.39,0.404,11.87,4
7.93,0.758,0.145,2.29,0.073,28.2,49.0,0.997,3.49,0.611,10.0,4
8.73,0.665,0.397,3.76,0.112,0.6,57.3,0.9973,3.32,0.58,11.41,5
8.05,0.583,0.33,4.55,0.062,1.5,31.5,0.9994,3.53,0.307,10.58,5
11.72,0.532,0.305,0.72,0.039,11.6,39.1,0.9997,3.36,0.713,10.43,5
8.14,0.522,0.107,1.76,0.125,13.3,15.4,0.9936,3.53,0.224,8.69,5
9.02,0.511,0.389,2.16,0.048,27.6,33.9,1.0006,3.62,0.778,10.26,5
7.92,0.489,0.024,1.58,0.084,34.3,78.7,0.9986,3.38,0.693,10.65,5
7.22,0.658,0.295,2.36,0.099,22.4,59.1,0.9982,3.31,0.458,10.38,4
8.27,0.542,0.27,1.98,0.05,17.4,55.9,0.9953,3.48,0.613,11.04,6
10.08,0.346,0.282,2.55,0.052,0.8,57.4,0.995,3.1,0.592,11.44,7
6.46,0.332,0.262,2.98,0.08,13.6,67.1,0.9988,3.68,0.801,10.15,5
4.55,0.546,0.521,1.9,0.015,1.0,38.4,1.0004,3.35,0.718,8.86,6
6.68,0.468,0.164,1.18,0.146,16.9,32.4,0.9964,3.44,0.393,9.05,3
9.72,0.753,0.554,1.19,0.081,31.0,62.0,0.9936,3.42,0.891,9.89,4
6.6,0.532,0.114,4.65,0.054,10.4,37.7,0.9952,3.49,0.466,9.44,5
8.88,0.627,0.012,4.17,0.039,11.0,54.7,0.9959,3.34,0.691,12.3,5
10.93,0.297,0.349,1.35,0.104,16.5,32.9,0.9997,3.25,0.782,10.6,6
9.47,0.524,0.253,5.14,0.061,21.5,61.8,0.9959,3.01,0.746,10.66,4
4.82,0.529,0.311,3.45,0.085,7.9,14.1,0.995,3.43,0.64,9.88,5
8.87,0.406,0.432,3.13,0.108,15.2,36.4,0.996,3.34,0.834,9.73,4
7.21,0.466,0.406,2.78,0.007,1.3,16.6,0.9948,3.06,0.841,8.68,6
7.92,0.228,0.136,0.35,0.034,12.8,35.4,0.9979,3.27,0.742,9.85,6
6.21,0.465,0.49,0.68,0.05,8.4,14.7,0.9948,3.26,0.457,12.06,6
8.65,0.185,0.676,3.64,0.005,18.7,41.0,0.9957,3.64,0.894,9.64,6
9.7,0.221,0.405,1.58,0.073,18.7,47.7,0.9962,3.24,0.583,12.71,7
7.46,0.667,0.0,4.33,0.202,12.0,65.9,0.9953,3.3,0.685,12.07,6
5.91,0.916,0.281,2.74,0.048,26.9,35.0,0.9967,3.37,0.667,9.73,4
6.23,0.459,0.229,0.76,0.062,2.0,32.2,0.9962,3.07,0.539,11.81,7
11.25,0.33,0.397,3.13,0.063,20.6,44.6,0.996,3.4,1.116,11.86,7
7.95,0.553,0.14,1.31,0.047,10.9,34.6,0.9989,3.22,0.753,13.71,7
7.05,0.567,0.274,4.62,0.068,34.7,62.4,0.9954,3.28,0.511,10.54,7
9.62,0.851,0.319,1.63,0.047,4.6,39.6,0.9954,3.3,0.59,11.23,5
6.98,0.158,0.183,4.44,0.083,9.8,39.5,0.9942,3.41,0.561,12.75,6
7.6,0.492,0.345,2.29,0.081,14.6,59.5,0.9935,3.41,0.683,10.29,4
6.35,0.733,0.219,3.05,0.072,17.1,52.4,0.9985,3.34,0.582,10.77,4
8.85,0.214,0.42,2.04,0.108,5.2,61.6,0.9961,3.28,0.219,11.15,5
8.3,0.631,0.423,2.21,0.068,17.8,23.8,0.9974,3.27,0.92,8.5,5
10.71,0.845,0.458,1.37,0.076,18.9,54.0,1.0,3.53,0.593,10.11,4
8.05,0.817,0.103,1.89,0.067,22.7,55.0,0.9987,3.3,0.638,9.94,4
7.27,0.797,0.087,1.63,0.04,26.5,70.7,0.9982,2.95,0.719,10.25,3
6.28,0.573,0.0,3.7,0.14,5.3,18.2,0.9962,2.98,0.698,10.29,5
9.07,0.407,0.555,0.81,0.004,18.8,45.0,0.9958,3.1,0.594,10.34,4
6.88,0.42,0.464,3.78,0.026,8.4,52.5,0.9969,3.43,0.422,10.26,4
8.05,0.466,0.638,0.86,0.121,13.5,34.1,0.996,3.62,0.568,11.56,5
7.14,0.787,0.575,3.06,0.065,21.5,56.4,0.994,3.26,0.391,11.15,5
10.83,0.229,0.227,5.28,0.083,11.4,57.9,0.9958,3.23,0.691,9.45,5
6.44,0.681,0.242,2.27,0.085,16.0,40.6,0.9947,3.32,0.568,10.62,5
5.49,0.756,0.363,3.07,0.114,20.7,66.3,0.9957,3.57,0.533,10.75,4
8.26,0.342,0.115,0.68,0.078,5.6,35.6,0.9971,3.49,0.507,9.63,5
7.68,0.373,0.324,4.41,0.08,7.1,25.2,0.9977,3.4,0.747,10.74,5
7.48,0.935,0.086,2.94,0.144,23.9,40.3,0.9983,3.39,0.676,8.92,3
9.56,0.464,0.051,2.66,0.011,16.0,18.1,1.0014,3.39,0.609,10.06,4
9.34,0.312,0.212,0.79,0.081,16.8,46.1,0.9957,3.23,0.54,10.64,5
9.14,0.548,0.497,1.27,0.12,33.2,73.4,0.9962,3.2,0.142,8.87,4
11.35,0.622,0.786,4.34,0.13,11.3,45.9,0.9945,3.59,0.568,9.12,4
7.14,0.529,0.305,2.42,0.124,17.5,37.6,0.994,3.42,0.895,10.87,6
10.09,0.1,0.123,3.52,0.034,27.3,90.9,0.9966,3.26,0.399,11.09,6
7.25,0.555,0.0,4.21,0.087,25.5,50.1,0.9984,3.43,0.796,10.36,5
9.04,0.557,0.37,4.04,0.076,10.9,69.6,0.9974,3.28,0.599,10.65,5
4.0,0.336,0.546,4.04,0.066,20.9,54.8,0.9944,3.24,0.585,10.95,5
7.19,0.297,0.0,6.41,0.035,26.5,67.2,0.9993,3.29,0.64,11.08,6
9.2,0.157,0.424,3.23,0.079,13.3,37.6,0.9967,3.4,0.625,11.03,7
9.89,0.402,0.536,1.1,0.046,1.3,40.6,0.9976,3.17,0.563,10.33,5
8.11,0.685,0.292,1.5,0.126,32.1,44.6,0.9968,3.38,0.576,10.19,5
6.39,0.685,0.324,2.88,0.019,14.2,66.2,0.9993,3.29,0.486,10.03,4
9.98,0.659,0.251,2.96,0.126,19.6,34.4,0.9933,3.2,0.793,9.76,4
11.07,0.646,0.177,4.6,0.213,24.2,46.0,0.998,3.23,0.557,11.46,4
5.07,0.683,0.425,3.79,0.052,9.7,45.9,0.9983,3.53,0.652,9.74,4
8.41,0.574,0.397,2.99,0.055,23.2,44.0,0.9939,3.19,0.296,9.19,4
9.12,0.302,0.396,3.93,0.007,6.8,39.2,0.996,3.37,0.706,10.31,5
8.95,0.59,0.257,3.19,0.115,16.5,27.1,0.9964,3.65,0.687,11.22,4
5.73,0.291,0.292,2.07,0.068,17.7,46.1,0.9987,3.19,0.687,9.87,6
8.79,0.353,0.025,0.53,0.089,21.2,53.0,0.9966,3.39,0.778,12.28,6
8.46,0.687,0.355,4.77,0.096,1.0,18.2,1.0008,3.31,0.413,10.3,5
7.8,0.145,0.411,1.44,0.117,8.0,68.5,0.9992,3.14,0.689,9.31,5
9.76,0.874,0.451,2.85,0.132,16.8,27.0,0.9988,3.2,0.75,11.15,5
9.89,0.57,0.216,0.91,0.106,8.7,18.5,0.9968,3.3,0.431,10.18,5
7.58,0.302,0.0,3.59,0.095,10.2,21.8,0.9973,3.3,0.557,9.19,5
11.0,0.497,0.085,0.48,0.066,17.5,24.1,0.9957,3.32,0.771,10.47,6
6.49,0.432,0.375,2.53,0.1,19.9,58.9,0.9982,3.24,0.451,9.95,4
11.88,0.616,0.291,0.97,0.068,22.1,40.6,0.9962,3.47,0.61,10.1,4
6.45,0.847,0.292,2.38,0.091,20.6,67.1,0.9953,3.35,0.775,10.02,4
10.82,0.636,0.38,1.3,0.018,31.5,58.2,0.9971,3.41,0.569,9.64,4
6.45,0.522,0.27,2.55,0.091,14.0,29.4,0.9967,3.27,0.585,11.56,5
9.33,0.558,0.404,1.73,0.028,2.3,18.4,0.9938,3.47,0.965,11.34,7
9.9,0.818,0.0,3.32,0.124,19.6,57.5,0.9945,3.5,0.741,11.26,5
7.25,0.494,0.0,0.7,0.099,7.5,25.4,1.0006,3.33,0.729,9.75,4
9.69,0.59,0.399,2.55,0.102,17.2,54.7,0.9951,3.1,0.751,10.41,4
6.77,0.794,0.444,3.62,0.129,24.9,80.5,0.9984,3.4,0.978,9.76,4
7.48,0.367,0.353,3.73,0.052,9.8,46.4,0.9965,3.2,0.476,9.62,5
8.69,0.644,0.33,2.37,0.095,14.8,40.9,0.9978,3.45,0.575,11.16,5
8.63,0.814,0.201,1.46,0.03,18.7,59.7,0.9995,3.39,0.732,11.3,5
9.21,0.896,0.107,3.23,0.149,5.1,34.2,0.9975,3.4,1.001,10.71,6
9.46,0.501,0.162,1.64,0.07,9.9,69.8,0.999,3.29,0.538,9.43,4
13.1,0.364,0.392,3.27,0.082,19.6,53.7,0.9971,3.5,0.945,10.16,5
9.86,0.501,0.338,1.59,0.063,27.8,59.6,0.9951,3.38,0.772,9.16,5
8.56,0.425,0.0,2.65,0.093,7.9,46.9,0.9965,3.07,0.221,9.8,5
8.33,0.76,0.318,0.38,0.1,30.1,74.6,0.9934,2.98,0.829,10.3,5
8.31,0.5,0.0,0.32,0.109,16.9,38.9,0.9977,3.64,0.626,10.98,5
8.86,0.432,0.134,1.8,0.066,15.7,45.2,0.9952,3.48,0.861,8.5,5
7.3,0.615,0.559,0.66,0.101,42.3,56.0,0.9948,3.38,0.46,10.37,5
11.28,0.46,0.505,2.93,0.166,21.0,55.8,0.9969,3.14,0.851,11.63,5
8.82,0.482,0.241,2.13,0.033,2.5,43.0,0.9964,3.39,0.654,10.83,5
6.78,0.547,0.273,4.24,0.015,5.9,57.0,0.9946,3.07,0.775,11.17,5
6.99,0.542,0.337,1.96,0.12,27.4,37.5,0.9974,3.51,0.762,10.28,5
9.78,0.481,0.4,3.74,0.028,21.1,66.4,0.9979,3.47,0.551,9.49,5
8.93,0.508,0.151,2.04,0.075,10.2,40.9,0.9972,3.53,0.703,9.49,4
7.23,0.437,0.282,4.13,0.049,19.9,57.8,0.9966,3.08,0.656,10.41,5
6.73,0.1,0.194,2.63,0.059,14.7,30.5,0.9946,3.25,0.304,8.57,5
6.76,0.547,0.228,1.93,0.131,8.9,44.0,0.9991,3.31,0.821,9.46,4
8.99,0.1,0.0,2.41,0.106,8.4,19.8,0.9957,2.95,0.665,9.33,6
7.72,0.806,0.164,3.02,0.078,12.7,58.0,0.9945,3.49,0.565,8.5,3
5.49,0.185,0.109,4.48,0.089,23.2,36.8,0.9974,3.24,0.534,10.7,5
9.06,0.556,0.242,2.78,0.194,25.1,50.3,0.9975,3.16,0.622,9.6,4
4.0,0.433,0.231,1.86,0.073,18.0,52.3,0.9977,3.7,0.866,12.06,7
7.04,0.485,0.498,0.16,0.077,13.3,54.2,0.9981,3.29,0.883,10.28,5
10.88,0.495,0.225,4.42,0.075,17.8,43.1,0.998,3.3,0.563,8.52,6
9.57,0.502,0.084,0.53,0.005,25.5,58.9,0.9972,3.48,0.747,10.68,6
4.44,0.47,0.055,2.24,0.088,18.4,52.3,0.9963,3.19,0.476,9.61,4
7.01,0.572,0.483,2.1,0.129,14.5,69.2,0.9949,3.17,1.052,11.47,6
6.68,0.447,0.547,1.54,0.008,12.4,39.5,0.9985,3.34,0.3,11.28,6
9.87,0.61,0.316,2.64,0.09,6.8,8.6,0.996,3.42,0.578,9.86,4
8.84,0.38,0.27,1.29,0.113,4.3,32.9,0.9966,3.19,0.66,11.67,5
10.58,0.565,0.207,2.83,0.086,18.4,46.2,0.9979,3.31,0.313,11.86,5
9.45,0.429,0.47,3.72,0.166,3.0,32.4,0.9958,3.11,0.847,9.82,4
9.31,0.576,0.046,2.46,0.141,16.3,45.0,0.996,3.26,0.409,11.95,5
6.4,0.479,0.327,0.02,0.111,7.7,35.4,0.9943,3.26,0.562,8.5,4
7.37,0.453,0.214,4.74,0.091,35.1,54.7,0.9919,3.23,0.444,8.94,4
7.38,0.542,0.29,4.92,0.121,18.4,27.7,0.9931,3.18,0.627,10.31,5
5.81,0.638,0.376,3.76,0.06,10.0,32.9,0.9996,3.16,0.676,9.96,4
10.55,0.467,0.318,1.72,0.078,26.7,40.8,0.992,3.51,0.837,8.69,6
8.89,0.906,0.344,2.45,0.069,32.6,70.8,0.995,3.17,0.796,10.05,5
5.01,0.759,0.103,1.85,0.043,19.8,46.9,1.0007,3.25,0.958,10.15,5
9.84,0.24,0.134,2.39,0.131,19.8,60.6,0.997,3.22,0.436,11.42,5
6.7,0.301,0.286,3.55,0.073,26.6,50.6,0.9959,3.12,0.88,8.5,5
9.5,0.642,0.74,1.56,0.106,29.7,85.0,0.9939,3.22,0.685,10.87,5
7.16,0.558,0.059,3.62,0.09,28.4,41.4,0.997,3.24,0.713,12.19,4
6.31,0.394,0.324,0.45,0.116,11.2,45.3,0.9978,3.06,0.679,9.81,6
6.19,0.266,0.228,4.48,0.105,23.5,59.3,0.9993,3.25,0.874,12.14,6
