CustomerID,Recency,Frequency,Monetary
CUST1000,15,25,8969.55
CUST1001,162,2,1038.03
CUST1002,29,6,4302.19
CUST1003,57,11,4002.07
CUST1004,106,1,582.21
CUST1005,50,3,2754.21
CUST1006,16,9,
CUST1007,4,20,11886.34
CUST1008,10,16,7130.73
CUST1009,15,11,2528.49
CUST1010,46,12,2605.97
CUST1011,104,3,694.83
CUST1012,38,4,4007.94
CUST1013,6,11,8389.53
CUST1014,12,32,8828.91
CUST1015,80,4,698.07
CUST1016,9,17,7692.84
CUST1017,50,8,
CUST1018,105,4,473.18
CUST1019,13,23,9930.68
CUST1020,26,11,4647.77
CUST1021,118,1,262.59
CUST1022,11,21,9312.13
CUST1023,35,5,3903.34
CUST1024,127,2,719.56
CUST1025,15,22,7969.58
CUST1026,47,8,2547.08
CUST1027,73,2,335.71
CUST1028,30,10,3229.94
CUST1029,45,10,2836.49
CUST1030,8,19,10663.47
CUST1031,35,8,3960.43
CUST1032,36,8,1838.84
CUST1033,39,10,3246.2
CUST1034,31,6,2995.97
CUST1035,127,2,606.59
CUST1036,106,2,720.09
CUST1037,6,26,10924.44
CUST1038,43,9,3025.25
CUST1039,4,26,5655.57
CUST1040,31,8,3970.6
CUST1041,35,6,1915.91
CUST1042,28,9,3249.54
CUST1043,33,7,3010.88
CUST1044,45,6,3230.28
CUST1045,51,11,2789.66
CUST1046,42,7,3206.34
CUST1047,167,4,137.41
CUST1048,14,32,8518.39
CUST1049,38,14,2756.73
CUST1050,40,9,1467.17
CUST1051,38,8,4035.32
CUST1052,56,11,2869.34
CUST1053,40,10,4120.68
CUST1054,21,6,1359.34
CUST1055,13,22,8347.75
CUST1056,6,19,7829.93
CUST1057,32,8,4450.98
CUST1058,38,7,2674.5
CUST1059,47,10,3465.66
CUST1060,142,4,284.8
CUST1061,28,4,3645.39
CUST1062,8,19,8127.99
CUST1063,13,21,8545.06
CUST1064,48,6,2062.06
CUST1065,23,20,8521.75
CUST1066,98,2,884.82
CUST1067,143,3,566.42
CUST1068,75,2,1105.64
CUST1069,46,8,3922.28
CUST1070,108,2,279.69
CUST1071,8,23,9195.72
CUST1072,14,31,11878.95
CUST1073,32,7,2612.61
CUST1074,25,9,3579.01
CUST1075,37,10,3342.38
CUST1076,9,18,12604.36
CUST1077,15,17,7870.57
CUST1078,7,22,11766.28
CUST1079,15,27,11458.1
CUST1080,16,26,10318.11
CUST1081,34,4,3083.7
CUST1082,53,7,2636.88
CUST1083,151,2,505.98
CUST1084,167,3,877.27
CUST1085,29,10,3538.84
CUST1086,43,12,4213.47
CUST1087,125,3,306.48
CUST1088,139,3,533.34
CUST1089,27,9,2107.89
CUST1090,130,2,365.43
CUST1091,121,3,968.78
CUST1092,15,21,8891.36
CUST1093,108,3,1355.56
CUST1094,17,30,11929.83
CUST1095,19,8,2810.62
CUST1096,157,4,450.82
CUST1097,35,11,2760.39
CUST1098,7,19,11092.8
CUST1099,26,12,3278.17
CUST1100,14,30,8295.93
CUST1101,27,10,2271.52
CUST1102,98,2,697.06
CUST1103,23,8,3724.17
CUST1104,48,3,4373.4
CUST1105,44,6,1879.9
CUST1106,132,2,690.71
CUST1107,146,2,698.54
CUST1108,12,26,12659.37
CUST1109,52,10,2988.3
CUST1110,59,11,3583.04
CUST1111,5,26,8108.47
CUST1112,30,5,2735.64
CUST1113,36,5,2398.85
CUST1114,118,1,276.32
CUST1115,95,1,833.47
CUST1116,5,26,11157.65
CUST1117,4,22,8642.42
CUST1118,24,8,2983.86
CUST1119,14,27,7527.24
CUST1120,8,25,11612.86
CUST1121,11,13,3049.37
CUST1122,18,20,8008.52
CUST1123,121,3,659.18
CUST1124,49,3,168.2
CUST1125,5,16,6197.95
CUST1126,22,6,2649.89
CUST1127,118,2,205.88
CUST1128,115,3,934.46
CUST1129,11,25,11106.07
CUST1130,17,30,8923.5
CUST1131,112,3,1118.32
CUST1132,166,1,584.09
CUST1133,1,26,9600.11
CUST1134,36,9,4373.03
CUST1135,32,12,3698.24
CUST1136,131,2,683.21
CUST1137,5,26,10783.99
CUST1138,34,11,4009.04
CUST1139,82,2,517.03
CUST1140,26,10,2441.14
CUST1141,8,23,10129.73
CUST1142,12,33,8593.36
CUST1143,11,16,10366.44
CUST1144,155,3,459.26
CUST1145,9,28,9331.93
CUST1146,15,17,11990.07
CUST1147,45,10,2481.32
CUST1148,9,23,9974.14
CUST1149,9,21,9846.42
CUST1150,17,12,7030.63
CUST1151,20,7,1633.77
CUST1152,41,9,2971.6
CUST1153,28,9,3360.42
CUST1154,12,18,10668.76
CUST1155,3,28,3961.9
CUST1156,29,5,3910.77
CUST1157,75,4,186.62
CUST1158,181,2,659.22
CUST1159,12,33,11107.54
CUST1160,1,28,9917.2
CUST1161,71,3,286.67
CUST1162,125,2,455.48
CUST1163,41,6,3372.06
CUST1164,104,2,1226.87
CUST1165,123,1,614.83
CUST1166,27,9,3345.73
CUST1167,123,2,486.66
CUST1168,12,27,8383.18
CUST1169,10,22,11756.75
CUST1170,15,18,9630.24
CUST1171,3,17,9527.04
CUST1172,139,3,556.76
CUST1173,3,24,9188.53
CUST1174,39,9,3844.16
CUST1175,13,26,8673.51
CUST1176,45,7,3276.44
CUST1177,54,10,2150.48
CUST1178,17,27,11552.85
CUST1179,37,10,2990.3
CUST1180,28,14,2868.48
CUST1181,8,20,12852.22
CUST1182,44,8,3158.94
CUST1183,13,26,6601.12
CUST1184,15,21,8265.14
CUST1185,31,11,4782.59
CUST1186,36,11,2467.38
CUST1187,12,26,6821.54
CUST1188,105,3,122.33
CUST1189,109,3,142.83
CUST1190,8,22,11102.71
CUST1191,22,12,3475.11
CUST1192,16,28,10113.42
CUST1193,40,4,1984.87
CUST1194,5,20,11179.83
CUST1195,17,8,
CUST1196,73,3,679.56
CUST1197,51,13,2370.74
CUST1198,16,15,2835.48
CUST1199,24,11,3322.84
