OrderID,Order Date,Customer Age,Customer Gender,Product Category,Product Name,Quantity,Unit Price,Region,Sales
1,2025-06-04,28.0,Male,Clothing,Formal Shirt,1,472.4,West,472.4
2,2025-03-07,32.0,Female,Electronics,Power Bank,4,2999.16,South,11996.64
3,2025-04-03,30.0,Female,Sports,Yoga Mat,4,1359.74,East,5438.96
4,2024-09-19,30.0,Female,Electronics,Laptop Sleeve,2,2097.65,North,4195.3
5,2025-03-11,16.0,Male,Beauty,Sunscreen,1,486.02,West,486.02
6,2024-03-28,18.0,Male,Clothing,Winter Hoodie,1,504.53,North,504.53
7,2024-09-28,46.0,Male,Electronics,Smartwatch,3,3065.44,South,9196.32
8,2024-11-01,42.0,Female,Home & Kitchen,Vacuum Flask,1,1740.54,West,1740.54
9,2024-08-19,22.0,Female,Clothing,Denim Jacket,3,1575.46,North,4726.38
10,2025-03-25,23.0,Male,Home & Kitchen,Table Lamp,1,1363.16,South,1363.16
11,2025-03-28,28.0,Female,Sports,Dumbbell Set,2,1251.88,East,2503.76
12,2025-03-24,33.0,Female,Home & Kitchen,Blender,2,1490.14,South,2980.28
13,2024-11-07,50.0,Female,Clothing,Denim Jacket,2,356.54,East,713.08
14,2025-06-23,39.0,Male,Electronics,Smartwatch,1,3609.94,East,3609.94
15,2025-03-27,39.0,Female,Home & Kitchen,Table Lamp,1,1028.19,South,1028.19
16,2025-02-02,28.0,Female,Sports,Yoga Mat,2,1349.75,East,2699.5
17,2024-10-27,47.0,Male,Electronics,Wireless Earbuds,2,3694.11,North,7388.22
18,2025-09-06,33.0,Male,Sports,Football,1,1162.42,South,1162.42
19,2025-03-21,43.0,Female,Beauty,Hair Dryer,1,673.7,West,673.7
20,2025-01-20,33.0,Male,Clothing,Winter Hoodie,2,1069.6,Central,2139.2
21,2024-11-24,24.0,Female,Beauty,Perfume,3,638.17,South,1914.51
22,2024-10-14,43.0,Male,Electronics,Wireless Earbuds,1,4311.68,West,4311.68
23,2024-09-16,49.0,Female,Home & Kitchen,Blender,1,1490.02,West,1490.02
24,2024-12-22,23.0,Female,Beauty,Sunscreen,2,583.47,West,1166.94
25,2025-01-02,26.0,Female,Sports,Yoga Mat,1,2035.58,North,2035.58
26,2025-07-07,19.0,Female,Electronics,Power Bank,4,3537.85,South,14151.4
27,2024-09-10,36.0,Female,Electronics,Wireless Earbuds,1,2925.5,West,2925.5
28,2025-06-23,31.0,Male,Clothing,Formal Shirt,1,646.02,East,646.02
29,2025-08-22,34.0,Female,Clothing,Denim Jacket,3,983.06,West,2949.18
30,2025-01-13,27.0,Female,Home & Kitchen,Blender,1,1444.13,Central,1444.13
31,2025-09-24,35.0,Male,Clothing,Denim Jacket,1,743.83,West,743.83
32,2025-01-25,43.0,Female,Clothing,Cotton T-Shirt,2,1151.78,West,2303.56
33,2024-07-22,39.0,Female,Clothing,Cotton T-Shirt,1,1350.9,East,1350.9
34,2024-07-18,17.0,Male,Electronics,Laptop Sleeve,1,2126.39,North,2126.39
35,2024-07-18,24.0,Male,Sports,Cricket Bat,2,1547.94,South,3095.88
36,2024-10-08,38.0,Female,Home & Kitchen,Storage Rack,4,2034.78,West,8139.12
37,2024-09-30,18.0,Female,Beauty,Face Serum,1,414.69,Central,414.69
38,2025-09-12,21.0,Male,Sports,Football,2,1283.31,South,2566.62
