TransactionID,Time_of_day_hr,Amount,V1,V2,V3,Class
1,16.86,211.86,0.332,-0.015,0.14,0
2,19.58,8.81,-0.936,0.3,-2.631,0
3,11.89,57.0,-1.396,-0.355,-0.292,0
4,14.68,57.49,-1.629,-0.931,-1.78,0
5,20.06,28.68,0.573,-1.772,-0.261,0
6,17.06,238.3,1.195,-0.007,0.56,0
7,10.35,90.79,-1.187,0.065,-0.302,0
8,20.35,6.96,1.178,1.707,-1.778,0
9,19.44,104.8,1.493,0.677,1.428,0
10,12.34,97.86,1.295,0.08,1.422,0
11,7.34,48.54,1.629,-2.015,-1.116,0
12,15.27,4.34,-0.886,-2.861,2.021,0
13,10.37,17.61,1.981,0.404,-1.78,0
14,14.02,18.14,3.29,0.242,1.103,0
15,13.98,270.33,-1.741,-0.672,-0.69,0
16,11.14,47.33,-0.541,0.073,2.258,0
17,3.74,62.86,-2.127,2.468,1.581,0
18,18.39,18.56,0.232,0.783,1.794,0
19,12.49,262.26,0.501,-2.62,2.361,0
20,9.05,18.52,-2.167,-0.116,-0.83,0
21,15.46,250.33,-0.481,0.661,-0.46,0
22,7.65,37.47,-0.009,-2.285,-0.379,0
23,18.95,26.02,1.074,0.047,1.758,0
24,8.32,91.61,0.212,0.653,0.913,0
25,11.86,12.46,1.693,1.288,1.11,0
26,20.3,36.13,0.333,-1.159,0.746,0
27,15.68,5.63,-0.497,-1.456,-0.356,0
28,10.35,57.42,-0.92,-1.611,-2.271,0
29,12.97,252.18,3.215,-0.21,-1.064,0
30,8.45,928.89,-1.396,1.504,-0.623,0
31,9.55,41.52,-0.582,-1.493,-2.816,0
32,8.86,8.96,-0.523,1.123,1.03,0
33,9.89,373.1,1.261,-0.972,0.315,0
34,17.9,48.25,-2.174,1.691,-1.244,0
35,23.13,54.15,0.756,0.915,-1.433,0
36,21.19,238.88,0.102,-2.207,1.743,0
37,19.01,179.88,-1.625,0.872,-1.374,0
38,14.29,33.71,0.759,-1.191,1.052,0
39,4.41,52.33,1.606,1.22,-0.334,0
40,14.53,43.51,0.076,2.032,0.721,0
41,12.69,50.85,-0.632,1.185,1.666,0
42,9.24,57.89,0.777,0.785,1.439,0
43,15.39,105.17,0.685,-0.728,-0.105,0
44,15.62,38.09,-1.283,-0.668,1.627,0
45,18.91,89.05,-0.539,-1.601,-1.045,0
46,6.0,70.88,-2.012,1.849,-3.289,0
47,6.44,197.06,-1.886,0.277,0.199,0
48,16.87,134.95,-0.033,1.806,0.88,0
49,16.99,122.96,-0.664,-1.955,0.185,0
50,6.0,125.34,0.493,0.398,-1.933,0
51,12.36,34.69,-0.582,0.844,1.514,0
52,13.64,67.39,0.172,-1.412,0.593,0
53,0.97,25.96,0.102,0.556,0.925,0
54,17.98,310.18,0.305,0.275,-1.907,0
55,16.83,8.16,-1.744,-0.105,-0.763,0
56,20.3,25.47,0.106,0.203,-0.869,0
57,19.86,57.31,-0.673,0.811,-2.862,0
58,13.87,22.55,-0.376,1.281,0.974,0
59,13.33,70.41,-1.451,-1.598,-1.532,0
60,10.37,29.53,-0.181,-0.696,0.32,0
61,13.32,10.47,1.932,-0.028,0.042,0
62,14.81,31.96,0.232,1.03,-1.189,0
63,4.05,293.25,0.275,0.655,0.047,0
64,19.03,177.06,2.382,0.2,-0.969,0
65,4.37,26.86,-0.91,1.512,0.467,0
66,13.64,30.98,0.264,-1.016,-0.151,0
67,19.82,17.87,-1.162,-0.373,-1.785,0
68,18.18,37.92,1.427,-0.639,0.757,0
69,22.02,100.49,-1.219,-2.645,1.148,0
70,19.98,51.33,-2.212,0.109,1.595,0
71,11.57,15.7,-2.099,-1.168,0.092,0
72,1.22,76.25,0.853,1.346,-2.574,0
73,1.38,52.11,0.482,-0.324,-0.513,0
74,10.13,28.54,3.739,-3.012,1.134,0
75,6.94,87.57,-0.204,0.515,0.231,0
76,20.14,15.65,-0.176,-0.581,0.518,0
77,16.66,46.29,1.494,1.315,-2.512,0
78,12.92,9.03,-0.03,0.174,0.809,0
79,18.7,8.87,1.047,0.402,-0.479,0
80,18.23,5.49,0.62,0.341,0.78,0
81,18.59,86.58,0.772,-2.755,0.397,0
82,14.82,14.35,-0.186,-1.504,-2.007,0
83,17.46,24.0,0.664,0.194,2.436,0
84,13.37,49.93,0.029,-0.543,-0.609,0
85,12.98,16.62,-1.296,-0.483,-1.453,0
86,10.11,18.76,-0.172,-0.74,0.607,0
87,14.51,148.63,-0.085,1.957,0.464,0
88,22.57,79.69,0.952,-1.243,0.319,0
89,8.08,23.23,-0.968,0.495,1.936,0
90,10.69,14.19,0.014,0.105,-0.08,0
91,13.02,241.37,0.361,-0.199,-0.802,0
92,1.92,78.59,-0.59,-1.546,-1.668,0
93,8.09,8.1,-1.762,-0.75,1.421,0
94,7.39,4.67,-0.785,1.131,0.704,0
95,15.59,44.26,2.578,-1.184,0.372,0
96,0.13,21.59,2.408,-0.087,-0.348,0
97,13.83,125.46,1.543,0.545,0.983,0
98,2.79,64.79,0.933,-0.413,-0.151,0
99,3.4,19.71,-0.246,1.677,-0.001,0
100,20.17,36.28,-0.801,-1.156,-2.475,0
101,12.98,609.33,-0.24,-0.161,-2.104,0
102,11.0,320.5,-1.122,-0.599,2.92,0
103,20.29,22.53,-0.393,0.697,-0.575,0
104,2.23,15.76,-1.17,-0.246,-1.635,0
105,16.33,70.02,1.659,-0.013,-0.593,0
106,7.58,58.12,0.187,0.198,1.446,0
107,14.28,12.59,-0.956,-0.268,-1.042,0
108,10.03,10.29,-2.846,-1.758,0.639,0
109,12.07,41.33,-1.48,0.456,0.576,0
110,8.15,48.35,1.264,0.333,-0.193,0
111,14.81,123.21,1.27,1.223,-2.404,0
112,15.69,10.38,0.379,0.134,-1.854,0
113,22.75,90.04,3.288,1.077,-0.858,0
114,16.8,127.75,-0.129,1.227,-1.896,0
115,18.34,84.3,-0.054,-0.394,0.91,0
116,19.91,47.77,3.096,1.315,0.253,0
117,11.26,340.58,1.18,-0.419,1.599,0
118,13.08,13.58,-0.617,0.788,-0.671,0
119,20.11,46.53,3.007,0.495,-0.602,0
120,6.5,4.72,-0.97,-1.871,-0.742,0
121,3.0,16.73,0.017,0.546,1.205,0
122,13.0,31.82,-0.921,-1.368,0.219,0
123,14.21,64.77,-0.434,-0.119,1.778,0
124,19.76,117.12,0.449,0.77,-0.971,0
125,16.27,192.98,-0.005,-0.405,0.136,0
126,7.89,30.03,0.481,-0.422,-0.077,0
127,1.2,9.78,-0.209,0.153,0.764,0
128,12.22,121.3,-2.534,0.79,-0.154,0
129,21.4,17.65,2.396,1.033,-1.14,0
130,18.86,15.71,0.304,1.079,0.467,0
131,10.86,1238.03,-0.409,-0.995,-1.032,0
132,9.21,110.14,0.725,-0.93,0.191,0
133,19.06,38.65,0.879,0.801,1.013,0
134,10.21,74.71,1.589,0.448,0.806,0
135,16.92,54.73,-2.577,0.105,-2.136,0
136,13.7,31.41,-0.663,0.575,-0.014,0
137,14.45,7.43,-1.331,1.341,-0.752,0
138,12.56,21.86,2.112,1.814,-0.764,0
139,16.95,75.2,1.189,0.479,1.895,0
140,15.66,166.69,0.123,-0.528,-0.676,0
141,5.39,118.18,0.551,2.015,-0.865,0
142,2.69,21.86,-0.837,-0.07,0.218,0
143,2.28,399.78,-0.345,-0.433,0.411,0
144,17.58,25.09,1.424,-0.3,-3.216,0
145,2.99,6.03,0.344,0.019,0.425,0
146,0.69,31.4,0.818,-0.635,-1.295,0
147,22.48,87.95,1.645,1.597,-1.299,0
148,13.76,12.73,-2.013,0.703,2.482,0
149,11.88,125.57,0.668,0.674,-0.036,0
150,9.86,18.13,-0.179,2.125,-1.324,0
151,8.97,24.88,0.114,2.081,0.713,0
152,15.64,56.92,-0.527,-0.027,3.393,0
153,11.38,23.33,1.67,1.934,-0.196,0
154,9.19,20.05,0.507,-0.622,1.807,0
155,19.99,91.69,-1.74,-0.726,-2.063,0
156,9.92,7.84,-0.543,-0.313,-0.038,0
157,14.78,278.95,-0.471,-0.482,0.348,0
158,15.9,167.34,-0.678,-1.494,0.521,0
159,23.19,21.57,0.467,-1.362,-0.532,0
160,22.13,41.99,1.451,-1.428,0.588,0
