Area_sqft,Bedrooms,Bathrooms,Age_years,Location,Price
1771.0,3,4.0,40.5,Downtown,348308.0
1739.0,3,1.0,44.5,Rural,203632.0
2373.0,2,2.0,21.3,Downtown,393229.0
1109.0,2,3.0,3.3,Rural,182277.0
2210.0,3,1.0,2.4,Waterfront,446947.0
859.0,2,2.0,43.5,Downtown,211705.0
1687.0,1,2.0,39.6,Rural,216952.0
1671.0,4,3.0,5.0,Downtown,347309.0
2420.0,2,4.0,4.4,Downtown,436260.0
1793.0,4,2.0,8.1,Waterfront,361765.0
1463.0,3,2.0,25.1,Suburb,238329.0
2556.0,2,,22.4,Downtown,413178.0
2686.0,3,3.0,26.5,Downtown,416416.0
1421.0,5,1.0,20.9,Downtown,281829.0
2181.0,3,4.0,22.0,Rural,311728.0
1554.0,3,1.0,14.1,Downtown,301682.0
1889.0,5,1.0,27.3,Waterfront,385472.0
1941.0,2,2.0,21.3,Suburb,310618.0
1098.0,2,2.0,31.6,Suburb,173192.0
1835.0,4,2.0,3.1,Downtown,364831.0
1216.0,4,2.0,20.3,Downtown,248256.0
1256.0,3,2.0,42.5,Suburb,192663.0
1548.0,3,2.0,41.7,Suburb,226003.0
709.0,2,2.0,33.0,Rural,117578.0
988.0,2,3.0,1.4,Rural,206061.0
1927.0,4,2.0,15.0,Downtown,375237.0
2154.0,2,1.0,25.1,Rural,289494.0
2269.0,4,2.0,2.4,Waterfront,433895.0
1545.0,2,2.0,37.1,Downtown,285362.0
2183.0,3,2.0,6.5,Suburb,358843.0
2662.0,3,2.0,24.6,Downtown,416213.0
2448.0,3,3.0,33.7,Suburb,374087.0
1039.0,2,4.0,44.3,Waterfront,258440.0
839.0,3,2.0,17.3,Downtown,201535.0
2021.0,1,,22.3,Rural,297637.0
2484.0,2,4.0,22.1,Downtown,411914.0
1787.0,5,4.0,0.6,Rural,319336.0
2324.0,4,4.0,15.8,Rural,371376.0
1935.0,2,1.0,20.5,Downtown,308097.0
1923.0,3,2.0,26.1,Suburb,328417.0
